fuel_type,gearbox,mileage,model,name,place,price,seller_type,users_data,year
Benzyna,Manualna,56 800 km,Abarth,Abarth 695,Bielsko-Biała (Śląskie),99 000,Prywatny sprzedawca,1 368 cm3 • 165 KM • ABARTH 695C XSR YAMAHA cabriolet Akrapovic CESJA leasing,2018
Benzyna,Manualna,59 000 km,Abarth,Abarth 595,Warszawa (Mazowieckie),71 000,Prywatny sprzedawca,1 368 cm3 • 165 KM • Abarth 595 - 165 KM | 59 000 km | Oryginalny wydech Akrapovic |,2018
Benzyna,Manualna,80 089 km,Abarth,Abarth 595,Jaworze (Śląskie),59 500,Prywatny sprzedawca,1 368 cm3 • 164 KM • fiat 500 Abarth C w wersji 595 Turismo (cabriolet) ewentualnie ZAMIANA,2016
Benzyna,Manualna,33 000 km,Abarth,Abarth 595,Wojcieszów (Dolnośląskie),70 000,,1 368 cm3 • 145 KM • Bardzo ładny ABARTH 595 w wyjątkowej stylizacji !!!,2021
Benzyna,Automatyczna,48 000 km,Abarth,Abarth 124 1.4 MultiAir,Nieborów (Łódzkie),71 900,Prywatny sprzedawca,"1 368 cm3 • 170 KM • Abarth 124 Spider, 170KM, niski przebieg, bogata opcja",2017
Benzyna,Manualna,50 100 km,Abarth,Abarth 595,Warszawa (Mazowieckie),92 000,Prywatny sprzedawca,"1 368 cm3 • 180 KM • Abarth 595 COMPETIZIONE 180KM, 2021r., salon PL, CESJA LEASINGU!",2021
Benzyna,Manualna,87 965 km,Abarth,Abarth 595,Katowice (Śląskie),68 998,,"1 368 cm3 • 145 KM • 1.4 T-Jet Abarth , Salon Polska, 1. Właściciel, VAT 23%, Skóra, Klima,",2020
Benzyna,Manualna,60 000 km,Abarth,Abarth 595,Limanowa (Małopolskie),79 900,Prywatny sprzedawca,1 368 cm3 • 165 KM • Kabrio 2019r 1.4 165KM Manual Lift Nawigacja Klimatronik BeżoweSkóry,2019
Benzyna,Manualna,27 738 km,Abarth,Abarth 500,Bielany Wrocławskie (Dolnośląskie),70 000,,"1 368 cm3 • 140 KM • 1.4 T-Jet Abarth , Salon Polska, 1. Właściciel, Serwis ASO,",2019
Benzyna,Manualna,190 000 km,Abarth,Abarth Grande Punto,Częstochowa (Śląskie),21 990,Prywatny sprzedawca,"1 368 cm3 • 155 KM • Obniżony , klimatronik, skory",2008
Benzyna,Manualna,89 000 km,Abarth,Abarth 500 595 1.4 T-Jet 16v Pista,Wrocław (Dolnośląskie),35 000,Prywatny sprzedawca,1 368 cm3 • 160 KM • Abarth 500 cabrio,2013
Benzyna,Automatyczna,8 900 km,Abarth,Abarth 595,Gdańsk (Pomorskie),103 900,,"1 368 cm3 • 165 KM • niski przebieg, piękny konfig, PPF front",2021
Benzyna,Manualna,127 000 km,Abarth,Abarth 500 595 1.4 T-Jet 16v Turismo,Bydgoszcz (Kujawsko-pomorskie),58 900,Prywatny sprzedawca,1 368 cm3 • 165 KM • 2016 r. 1.4 T 165 KM 595 turismo CLIMATRONIC PDC Alu Oryg przebieg,2016
