fuel_type,gearbox,mileage,model,name,place,price,seller_type,users_data,year
Benzyna,Manualna,62 000 km,Abarth,Abarth 595,Bydgoszcz (Kujawsko-pomorskie),63 000,Prywatny sprzedawca,"1 368 cm3 • 145 KM • Abarth 595 70th Aniversario 2019/2020 - pierwszy właściciel, salon PL",2019
Benzyna,Manualna,56 800 km,Abarth,Abarth 695,Bielsko-Biała (Śląskie),99 000,Prywatny sprzedawca,1 368 cm3 • 165 KM • ABARTH 695C XSR YAMAHA cabriolet Akrapovic CESJA leasing,2018
Benzyna,Manualna,59 000 km,Abarth,Abarth 595,Warszawa (Mazowieckie),71 000,Prywatny sprzedawca,1 368 cm3 • 165 KM • Abarth 595 - 165 KM | 59 000 km | Oryginalny wydech Akrapovic |,2018
Benzyna,Manualna,80 089 km,Abarth,Abarth 595,Jaworze (Śląskie),59 500,Prywatny sprzedawca,1 368 cm3 • 164 KM • fiat 500 Abarth C w wersji 595 Turismo (cabriolet) ewentualnie ZAMIANA,2016
Benzyna,Manualna,33 000 km,Abarth,Abarth 595,Wojcieszów (Dolnośląskie),70 000,,1 368 cm3 • 145 KM • Bardzo ładny ABARTH 595 w wyjątkowej stylizacji !!!,2021
Benzyna,Automatyczna,7 684 km,Abarth,Abarth 595,Kraków (Małopolskie),107 000,Prywatny sprzedawca,1 368 cm3 • 165 KM • Turismo,2021
Benzyna,Manualna,29 000 km,Abarth,Abarth 500 595 1.4 T-Jet 16v Turismo,Tarnowskie Góry (Śląskie),79 999,,"1 368 cm3 • 165 KM • 595 Turismo, Polski Salon, Pierwszy Właściciel, FV VAT",2022
Benzyna,Manualna,24 000 km,Abarth,Abarth 595,Gniezno (Wielkopolskie),79 900,,1 400 cm3 • 145 KM • 24 tyś/km - Gwarancja * Klimatyzacja * Zarejestrowany w PL *,2021
Benzyna,Automatyczna,48 000 km,Abarth,Abarth 124 1.4 MultiAir,Nieborów (Łódzkie),71 900,Prywatny sprzedawca,"1 368 cm3 • 170 KM • Abarth 124 Spider, 170KM, niski przebieg, bogata opcja",2017
Benzyna,Manualna,50 100 km,Abarth,Abarth 595,Warszawa (Mazowieckie),92 000,Prywatny sprzedawca,"1 368 cm3 • 180 KM • Abarth 595 COMPETIZIONE 180KM, 2021r., salon PL, CESJA LEASINGU!",2021
Benzyna,Manualna,87 965 km,Abarth,Abarth 595,Katowice (Śląskie),68 998,,"1 368 cm3 • 145 KM • 1.4 T-Jet Abarth , Salon Polska, 1. Właściciel, VAT 23%, Skóra, Klima,",2020
Benzyna,Manualna,60 000 km,Abarth,Abarth 595,Limanowa (Małopolskie),79 900,Prywatny sprzedawca,1 368 cm3 • 165 KM • Kabrio 2019r 1.4 165KM Manual Lift Nawigacja Klimatronik BeżoweSkóry,2019
Benzyna,Manualna,27 738 km,Abarth,Abarth 500,Bielany Wrocławskie (Dolnośląskie),70 000,,"1 368 cm3 • 140 KM • 1.4 T-Jet Abarth , Salon Polska, 1. Właściciel, Serwis ASO,",2019
Benzyna,Manualna,190 000 km,Abarth,Abarth Grande Punto,Częstochowa (Śląskie),21 990,Prywatny sprzedawca,"1 368 cm3 • 155 KM • Obniżony , klimatronik, skory",2008
Benzyna,Manualna,89 000 km,Abarth,Abarth 500 595 1.4 T-Jet 16v Pista,Wrocław (Dolnośląskie),35 000,Prywatny sprzedawca,1 368 cm3 • 160 KM • Abarth 500 cabrio,2013
Benzyna,Automatyczna,8 900 km,Abarth,Abarth 595,Gdańsk (Pomorskie),103 900,,"1 368 cm3 • 165 KM • niski przebieg, piękny konfig, PPF front",2021
Benzyna,Manualna,127 000 km,Abarth,Abarth 500 595 1.4 T-Jet 16v Turismo,Bydgoszcz (Kujawsko-pomorskie),58 900,Prywatny sprzedawca,1 368 cm3 • 165 KM • 2016 r. 1.4 T 165 KM 595 turismo CLIMATRONIC PDC Alu Oryg przebieg,2016
Benzyna,Automatyczna,42 000 km,Abarth,Abarth 595,Świdnica (Dolnośląskie),82 000,Prywatny sprzedawca,1 368 cm3 • 180 KM • Abarth 595 Competizione MTA,2019
Benzyna,Manualna,6 800 km,Abarth,Abarth 595,Świdnica (Dolnośląskie),149 000,Prywatny sprzedawca,1 368 cm3 • 180 KM • Abarth 595C Competizione Anniversario 70’,2020
Benzyna,Manualna,124 600 km,Abarth,Abarth 500,Wiśniowa (Małopolskie),41 000,Prywatny sprzedawca,1 368 cm3 • 160 KM • Abarth 500,2008
Benzyna,Manualna,18 589 km,Abarth,Abarth 595,Wrocław (Dolnośląskie),79 900,,"1 368 cm3 • 165 KM • Turismo, Bezwypadkowy, Salon Polska, 1 właściciel",2022
Benzyna,Manualna,120 000 km,Abarth,Abarth 500,Pleszew (Wielkopolskie),43 900,Prywatny sprzedawca,"1 368 cm3 • 135 KM • Abarth 500 1.4T 135KM, Klima, Skóra",2012
Benzyna,Manualna,31 190 km,Abarth,Abarth 595,Bielawa (Dolnośląskie),66 900,Prywatny sprzedawca,1 368 cm3 • 145 KM • Abarth 500 1.4 TURBO nawigacja,2022
Benzyna,Automatyczna,39 800 km,Abarth,Abarth 695,Warszawa (Mazowieckie),99 999,,1 368 cm3 • 180 KM • Competizione*Wydechy MONZA*Salon PL*Fv23%*Gwarancja*Automat*Navi*,2023
Benzyna,Automatyczna,1 km,Abarth,Abarth 124,Poznań (Wielkopolskie),1 000 000,,1 395 cm3 • 1 KM,2025
Benzyna,Manualna,34 755 km,Abarth,Abarth 595,Rudawa (Małopolskie),66 900,,1 368 cm3 • 163 KM • Navigacja Czujniki parkowania Skora,2019
Benzyna,Manualna,72 700 km,Abarth,Abarth 595,Kraków (Małopolskie),79 900,Prywatny sprzedawca,1 395 cm3 • 179 KM • Esseesse/Sabelt 70th/Akropovic/Carbon/max opcja,2020
Benzyna,Manualna,42 300 km,Abarth,Abarth 500 595 1.4 T-Jet 16v,Wieliczka (Małopolskie),52 600,Prywatny sprzedawca,1 368 cm3 • 145 KM • Abarth 595,2016
Benzyna,Manualna,95 000 km,Abarth,Abarth 595,Rybnik (Śląskie),49 900,,1 368 cm3 • 145 KM • 595 ABARTH 1.4 Turbo 145KM kubełkowe fotele/SPORT/alumki/serwisowany/,2017
Benzyna,Manualna,53 787 km,Abarth,Abarth 595,Warszawa (Mazowieckie),70 900,,1 368 cm3 • 165 KM • LIFT 1.4T Turismo Klimatronik Navi Skóra SportPack ParkAssist LED EDS,2018
Benzyna,Automatyczna,152 000 km,Abarth,Abarth 595,Lublin (Lubelskie),46 595,Prywatny sprzedawca,1 368 cm3 • 160 KM • cabrio automat doinwestowany perfekcyjny wygląd garażowany.,2010
Benzyna,Manualna,17 280 km,Abarth,Abarth 595,Katowice (Śląskie),75 000,Prywatny sprzedawca,"1 368 cm3 • 145 KM • Stan idealny, bezwypadkowy - potwierdzony w raporcie carvertical",2021
Benzyna,Automatyczna,31 653 km,Acura,Acura RDX,Łomża (Podlaskie),145 000,Prywatny sprzedawca,2 000 cm3 • 275 KM • Acura Rdx III,2021
Benzyna,Automatyczna,55 000 km,Acura,Acura RDX,Wyżne (Podkarpackie),142 000,Prywatny sprzedawca,1 998 cm3 • 272 KM • Acura RDX,2019
Benzyna,Automatyczna,16 771 km,Acura,Acura Inny,Oleśnica (Dolnośląskie),50 000,Prywatny sprzedawca,1 997 cm3 • 156 KM • Acura ILX Honda Accord niski przebieg oryginalny,2013
Benzyna,Automatyczna,39 500 km,Acura,Acura MDX 3.7 V6 Base,Rzeszów (Podkarpackie),249 500,Prywatny sprzedawca,3 664 cm3 • 300 KM • ACURA MDX 3.5 V6 A-Spec,2022
Benzyna,Automatyczna,130 173 km,Acura,Acura MDX 3.7 V6 Base,Czarnylas (Wielkopolskie),155 000,Prywatny sprzedawca,3 664 cm3 • 300 KM • Sprzedam ACURA MDX 3.6 V6 2017,2017
Benzyna,Automatyczna,255 000 km,Acura,Acura TL 3.2,Gdynia (Pomorskie),27 500,Prywatny sprzedawca,"3 210 cm3 • 270 KM • Acura TL 2005 3,2 V6 V-TEC 270 koni",2005
Benzyna,Automatyczna,5 227 km,Acura,Acura MDX,Mińsk Mazowiecki (Mazowieckie),182 000,,"3 500 cm3 • 290 KM • 2024, 3.5L, 4x4, TECHNOLOGY, porysowany lakier",2024
Benzyna,Automatyczna,85 903 km,Acura,Acura RDX,Białystok (Podlaskie),140 000,Prywatny sprzedawca,1 996 cm3 • 272 KM • Acura RDX ADVANCE *Honda Premium*,2019
Benzyna,Automatyczna,103 995 km,Acura,Acura MDX,Kiekrz (Wielkopolskie),94 999,Prywatny sprzedawca,3 471 cm3 • 254 KM • Moje prywatne auto od 4 lat,2014
Benzyna,Automatyczna,118 000 km,Acura,Acura MDX 3.7 V6 Base,Kraków (Małopolskie),109 000,Prywatny sprzedawca,"3 664 cm3 • 300 KM • Acura MDX Advance 300KM, 4x4=SH-AWD",2014
