fuel_type,gearbox,mileage [km],model,name,place,price [pln],seller_type,year,engine_capacity [cm3],horsepower [km],additional_specification,is_gearbox_automatic,region
Benzyna,Manualna,62000,Abarth,Abarth 595,Bydgoszcz (Kujawsko-pomorskie),63000,Prywatny sprzedawca,2019,1368,145,"Abarth 595 70th Aniversario 2019/2020 - pierwszy właściciel, salon PL",0,Kujawsko-pomorskie
Benzyna,Manualna,56800,Abarth,Abarth 695,Bielsko-Biała (Śląskie),99000,Prywatny sprzedawca,2018,1368,165,ABARTH 695C XSR YAMAHA cabriolet Akrapovic CESJA leasing,0,Śląskie
Benzyna,Manualna,59000,Abarth,Abarth 595,Warszawa (Mazowieckie),71000,Prywatny sprzedawca,2018,1368,165,Abarth 595 - 165 KM | 59 000 km | Oryginalny wydech Akrapovic |,0,Mazowieckie
Benzyna,Manualna,80089,Abarth,Abarth 595,Jaworze (Śląskie),59500,Prywatny sprzedawca,2016,1368,164,fiat 500 Abarth C w wersji 595 Turismo (cabriolet) ewentualnie ZAMIANA,0,Śląskie
Benzyna,Manualna,33000,Abarth,Abarth 595,Wojcieszów (Dolnośląskie),70000,Anonimowy sprzedawca,2021,1368,145,Bardzo ładny ABARTH 595 w wyjątkowej stylizacji !!!,0,Dolnośląskie
Benzyna,Automatyczna,7684,Abarth,Abarth 595,Kraków (Małopolskie),107000,Prywatny sprzedawca,2021,1368,165,Turismo,1,Małopolskie
Benzyna,Manualna,29000,Abarth,Abarth 500 595 1.4 T-Jet 16v Turismo,Tarnowskie Góry (Śląskie),79999,Anonimowy sprzedawca,2022,1368,165,"595 Turismo, Polski Salon, Pierwszy Właściciel, FV VAT",0,Śląskie
Benzyna,Manualna,24000,Abarth,Abarth 595,Gniezno (Wielkopolskie),79900,Anonimowy sprzedawca,2021,1400,145,24 tyś/km - Gwarancja * Klimatyzacja * Zarejestrowany w PL *,0,Wielkopolskie
Benzyna,Automatyczna,48000,Abarth,Abarth 124 1.4 MultiAir,Nieborów (Łódzkie),71900,Prywatny sprzedawca,2017,1368,170,"Abarth 124 Spider, 170KM, niski przebieg, bogata opcja",1,Łódzkie
Benzyna,Manualna,50100,Abarth,Abarth 595,Warszawa (Mazowieckie),92000,Prywatny sprzedawca,2021,1368,180,"Abarth 595 COMPETIZIONE 180KM, 2021r., salon PL, CESJA LEASINGU!",0,Mazowieckie
Benzyna,Manualna,87965,Abarth,Abarth 595,Katowice (Śląskie),68998,Anonimowy sprzedawca,2020,1368,145,"1.4 T-Jet Abarth , Salon Polska, 1. Właściciel, VAT 23%, Skóra, Klima,",0,Śląskie
Benzyna,Manualna,60000,Abarth,Abarth 595,Limanowa (Małopolskie),79900,Prywatny sprzedawca,2019,1368,165,Kabrio 2019r 1.4 165KM Manual Lift Nawigacja Klimatronik BeżoweSkóry,0,Małopolskie
Benzyna,Manualna,27738,Abarth,Abarth 500,Bielany Wrocławskie (Dolnośląskie),70000,Anonimowy sprzedawca,2019,1368,140,"1.4 T-Jet Abarth , Salon Polska, 1. Właściciel, Serwis ASO,",0,Dolnośląskie
Benzyna,Manualna,190000,Abarth,Abarth Grande Punto,Częstochowa (Śląskie),21990,Prywatny sprzedawca,2008,1368,155,"Obniżony , klimatronik, skory",0,Śląskie
Benzyna,Manualna,89000,Abarth,Abarth 500 595 1.4 T-Jet 16v Pista,Wrocław (Dolnośląskie),35000,Prywatny sprzedawca,2013,1368,160,Abarth 500 cabrio,0,Dolnośląskie
Benzyna,Automatyczna,8900,Abarth,Abarth 595,Gdańsk (Pomorskie),103900,Anonimowy sprzedawca,2021,1368,165,"niski przebieg, piękny konfig, PPF front",1,Pomorskie
Benzyna,Manualna,127000,Abarth,Abarth 500 595 1.4 T-Jet 16v Turismo,Bydgoszcz (Kujawsko-pomorskie),58900,Prywatny sprzedawca,2016,1368,165,2016 r. 1.4 T 165 KM 595 turismo CLIMATRONIC PDC Alu Oryg przebieg,0,Kujawsko-pomorskie
Benzyna,Automatyczna,42000,Abarth,Abarth 595,Świdnica (Dolnośląskie),82000,Prywatny sprzedawca,2019,1368,180,Abarth 595 Competizione MTA,1,Dolnośląskie
Benzyna,Manualna,6800,Abarth,Abarth 595,Świdnica (Dolnośląskie),149000,Prywatny sprzedawca,2020,1368,180,Abarth 595C Competizione Anniversario 70’,0,Dolnośląskie
Benzyna,Manualna,124600,Abarth,Abarth 500,Wiśniowa (Małopolskie),41000,Prywatny sprzedawca,2008,1368,160,Abarth 500,0,Małopolskie
Benzyna,Manualna,18589,Abarth,Abarth 595,Wrocław (Dolnośląskie),79900,Anonimowy sprzedawca,2022,1368,165,"Turismo, Bezwypadkowy, Salon Polska, 1 właściciel",0,Dolnośląskie
Benzyna,Manualna,120000,Abarth,Abarth 500,Pleszew (Wielkopolskie),43900,Prywatny sprzedawca,2012,1368,135,"Abarth 500 1.4T 135KM, Klima, Skóra",0,Wielkopolskie
Benzyna,Manualna,31190,Abarth,Abarth 595,Bielawa (Dolnośląskie),66900,Prywatny sprzedawca,2022,1368,145,Abarth 500 1.4 TURBO nawigacja,0,Dolnośląskie
Benzyna,Automatyczna,39800,Abarth,Abarth 695,Warszawa (Mazowieckie),99999,Anonimowy sprzedawca,2023,1368,180,Competizione*Wydechy MONZA*Salon PL*Fv23%*Gwarancja*Automat*Navi*,1,Mazowieckie
Benzyna,Automatyczna,1,Abarth,Abarth 124,Poznań (Wielkopolskie),1000000,Anonimowy sprzedawca,2025,1395,1,Brak dodatkowych informacji,1,Wielkopolskie
Benzyna,Manualna,34755,Abarth,Abarth 595,Rudawa (Małopolskie),66900,Anonimowy sprzedawca,2019,1368,163,Navigacja Czujniki parkowania Skora,0,Małopolskie
Benzyna,Manualna,72700,Abarth,Abarth 595,Kraków (Małopolskie),79900,Prywatny sprzedawca,2020,1395,179,Esseesse/Sabelt 70th/Akropovic/Carbon/max opcja,0,Małopolskie
Benzyna,Manualna,42300,Abarth,Abarth 500 595 1.4 T-Jet 16v,Wieliczka (Małopolskie),52600,Prywatny sprzedawca,2016,1368,145,Abarth 595,0,Małopolskie
Benzyna,Manualna,95000,Abarth,Abarth 595,Rybnik (Śląskie),49900,Anonimowy sprzedawca,2017,1368,145,595 ABARTH 1.4 Turbo 145KM kubełkowe fotele/SPORT/alumki/serwisowany/,0,Śląskie
Benzyna,Manualna,53787,Abarth,Abarth 595,Warszawa (Mazowieckie),70900,Anonimowy sprzedawca,2018,1368,165,LIFT 1.4T Turismo Klimatronik Navi Skóra SportPack ParkAssist LED EDS,0,Mazowieckie
Benzyna,Automatyczna,152000,Abarth,Abarth 595,Lublin (Lubelskie),46595,Prywatny sprzedawca,2010,1368,160,cabrio automat doinwestowany perfekcyjny wygląd garażowany.,1,Lubelskie
Benzyna,Manualna,17280,Abarth,Abarth 595,Katowice (Śląskie),75000,Prywatny sprzedawca,2021,1368,145,"Stan idealny, bezwypadkowy - potwierdzony w raporcie carvertical",0,Śląskie
Benzyna,Automatyczna,31653,Acura,Acura RDX,Łomża (Podlaskie),145000,Prywatny sprzedawca,2021,2000,275,Acura Rdx III,1,Podlaskie
Benzyna,Automatyczna,55000,Acura,Acura RDX,Wyżne (Podkarpackie),142000,Prywatny sprzedawca,2019,1998,272,Acura RDX,1,Podkarpackie
Benzyna,Automatyczna,16771,Acura,Acura Inny,Oleśnica (Dolnośląskie),50000,Prywatny sprzedawca,2013,1997,156,Acura ILX Honda Accord niski przebieg oryginalny,1,Dolnośląskie
Benzyna,Automatyczna,39500,Acura,Acura MDX 3.7 V6 Base,Rzeszów (Podkarpackie),249500,Prywatny sprzedawca,2022,3664,300,ACURA MDX 3.5 V6 A-Spec,1,Podkarpackie
Benzyna,Automatyczna,130173,Acura,Acura MDX 3.7 V6 Base,Czarnylas (Wielkopolskie),155000,Prywatny sprzedawca,2017,3664,300,Sprzedam ACURA MDX 3.6 V6 2017,1,Wielkopolskie
Benzyna,Automatyczna,255000,Acura,Acura TL 3.2,Gdynia (Pomorskie),27500,Prywatny sprzedawca,2005,3210,270,"Acura TL 2005 3,2 V6 V-TEC 270 koni",1,Pomorskie
Benzyna,Automatyczna,5227,Acura,Acura MDX,Mińsk Mazowiecki (Mazowieckie),182000,Anonimowy sprzedawca,2024,3500,290,"2024, 3.5L, 4x4, TECHNOLOGY, porysowany lakier",1,Mazowieckie
Benzyna,Automatyczna,85903,Acura,Acura RDX,Białystok (Podlaskie),140000,Prywatny sprzedawca,2019,1996,272,Acura RDX ADVANCE *Honda Premium*,1,Podlaskie
Benzyna,Automatyczna,103995,Acura,Acura MDX,Kiekrz (Wielkopolskie),94999,Prywatny sprzedawca,2014,3471,254,Moje prywatne auto od 4 lat,1,Wielkopolskie
Benzyna,Automatyczna,118000,Acura,Acura MDX 3.7 V6 Base,Kraków (Małopolskie),109000,Prywatny sprzedawca,2014,3664,300,"Acura MDX Advance 300KM, 4x4=SH-AWD",1,Małopolskie
Benzyna,Automatyczna,149000,Acura,Acura MDX 3.7 V6 Base,Kraków (Małopolskie),79900,Prywatny sprzedawca,2013,3664,300,Stan Idealny !!! 4x4 SH-AWD !!!,1,Małopolskie
Benzyna,Automatyczna,69500,Acura,Acura RDX,Wrocław (Dolnośląskie),170000,Prywatny sprzedawca,2022,1996,272,2022 Po lifcie,1,Dolnośląskie
Benzyna,Automatyczna,28600,Acura,Acura RDX,Wrocław (Dolnośląskie),165000,Prywatny sprzedawca,2023,1996,276,Acura RDX,1,Dolnośląskie
Benzyna,Automatyczna,37000,Acura,Acura Inny,Ząbki (Mazowieckie),119000,Prywatny sprzedawca,2019,3471,320,"Acura TLX Tech 3,5 FWD 2019",1,Mazowieckie
