fuel_type,mileage [km],model,name,price [pln],seller_type,year,engine_capacity [cm3],horsepower [km],is_gearbox_automatic,region
178162.80103896104,62000,101613.19330155727,85505.35729871553,63000,90852.11828935395,2019,1368,145,0,80689.85523698955
178162.80103896104,56800,101613.19330155727,133323.6710592727,99000,90852.11828935395,2018,1368,165,0,128266.81578947918
178162.80103896104,59000,101613.19330155727,85505.35729871553,71000,90852.11828935395,2018,1368,165,0,215862.60127388535
178162.80103896104,80089,101613.19330155727,85505.35729871553,59500,90852.11828935395,2016,1368,164,0,128266.81578947918
178162.80103896104,33000,101613.19330155727,85505.35729871553,70000,265742.16685979144,2021,1368,145,0,104437.42322164333
178162.80103896104,7684,101613.19330155727,85505.35729871553,107000,90852.11828935395,2021,1368,165,1,128485.97744385074
178162.80103896104,29000,101613.19330155727,128275.82353254712,79999,265742.16685979144,2022,1368,165,0,128266.81578947918
178162.80103896104,24000,101613.19330155727,85505.35729871553,79900,265742.16685979144,2021,1400,145,0,132428.99408284036
178162.80103896104,48000,101613.19330155727,130470.9418502568,71900,90852.11828935395,2017,1368,170,1,116883.13401209252
178162.80103896104,50100,101613.19330155727,85505.35729871553,92000,90852.11828935395,2021,1368,180,0,215862.60127388535
178162.80103896104,87965,101613.19330155727,85505.35729871553,68998,265742.16685979144,2020,1368,145,0,128266.81578947918
178162.80103896104,60000,101613.19330155727,85505.35729871553,79900,90852.11828935395,2019,1368,165,0,128485.97744385074
178162.80103896104,27738,101613.19330155727,122642.10573317415,70000,265742.16685979144,2019,1368,140,0,104437.42322164333
178162.80103896104,190000,101613.19330155727,123391.15520107346,21990,90852.11828935395,2008,1368,155,0,128266.81578947918
178162.80103896104,89000,101613.19330155727,125236.6375554288,35000,90852.11828935395,2013,1368,160,0,104437.42322164333
178162.80103896104,8900,101613.19330155727,85505.35729871553,103900,265742.16685979144,2021,1368,165,1,147607.26099963614
178162.80103896104,127000,101613.19330155727,128275.82353254712,58900,90852.11828935395,2016,1368,165,0,80689.85523698955
178162.80103896104,42000,101613.19330155727,85505.35729871553,82000,90852.11828935395,2019,1368,180,1,104437.42322164333
178162.80103896104,6800,101613.19330155727,85505.35729871553,149000,90852.11828935395,2020,1368,180,0,104437.42322164333
178162.80103896104,124600,101613.19330155727,122642.10573317415,41000,90852.11828935395,2008,1368,160,0,128485.97744385074
178162.80103896104,18589,101613.19330155727,85505.35729871553,79900,265742.16685979144,2022,1368,165,0,104437.42322164333
178162.80103896104,120000,101613.19330155727,122642.10573317415,43900,90852.11828935395,2012,1368,135,0,132428.99408284036
178162.80103896104,31190,101613.19330155727,85505.35729871553,66900,90852.11828935395,2022,1368,145,0,104437.42322164333
178162.80103896104,39800,101613.19330155727,133323.6710592727,99999,265742.16685979144,2023,1368,180,1,215862.60127388535
178162.80103896104,1,101613.19330155727,262122.91518439952,1000000,265742.16685979144,2025,1395,1,1,132428.99408284036
178162.80103896104,34755,101613.19330155727,85505.35729871553,66900,265742.16685979144,2019,1368,163,0,128485.97744385074
178162.80103896104,72700,101613.19330155727,85505.35729871553,79900,90852.11828935395,2020,1395,179,0,128485.97744385074
178162.80103896104,42300,101613.19330155727,127733.21629767738,52600,90852.11828935395,2016,1368,145,0,128485.97744385074
178162.80103896104,95000,101613.19330155727,85505.35729871553,49900,265742.16685979144,2017,1368,145,0,128266.81578947918
178162.80103896104,53787,101613.19330155727,85505.35729871553,70900,265742.16685979144,2018,1368,165,0,215862.60127388535
178162.80103896104,152000,101613.19330155727,85505.35729871553,46595,90852.11828935395,2010,1368,160,1,96721.02917093172
178162.80103896104,17280,101613.19330155727,85505.35729871553,75000,90852.11828935395,2021,1368,145,0,128266.81578947918
178162.80103896104,31653,133685.35142702976,143181.3517792517,145000,90852.11828935395,2021,2000,275,1,96779.25740007074
178162.80103896104,55000,133685.35142702976,143181.3517792517,142000,90852.11828935395,2019,1998,272,1,128508.16284539767
178162.80103896104,16771,133685.35142702976,130804.03082708898,50000,90852.11828935395,2013,1997,156,1,104437.42322164333
178162.80103896104,39500,133685.35142702976,142050.1359944893,249500,90852.11828935395,2022,3664,300,1,128508.16284539767
178162.80103896104,130173,133685.35142702976,142050.1359944893,155000,90852.11828935395,2017,3664,300,1,132428.99408284036
178162.80103896104,255000,133685.35142702976,124172.75456867514,27500,90852.11828935395,2005,3210,270,1,147607.26099963614
178162.80103896104,5227,133685.35142702976,139874.95403904963,182000,265742.16685979144,2024,3500,290,1,215862.60127388535
178162.80103896104,85903,133685.35142702976,143181.3517792517,140000,90852.11828935395,2019,1996,272,1,96779.25740007074
178162.80103896104,103995,133685.35142702976,139874.95403904963,94999,90852.11828935395,2014,3471,254,1,132428.99408284036
178162.80103896104,118000,133685.35142702976,142050.1359944893,109000,90852.11828935395,2014,3664,300,1,128485.97744385074
178162.80103896104,149000,133685.35142702976,142050.1359944893,79900,90852.11828935395,2013,3664,300,1,128485.97744385074
178162.80103896104,69500,133685.35142702976,143181.3517792517,170000,90852.11828935395,2022,1996,272,1,104437.42322164333
178162.80103896104,28600,133685.35142702976,143181.3517792517,165000,90852.11828935395,2023,1996,276,1,104437.42322164333
